Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transcribe/raw,866,0,440.0,529.841946338347,310.35419100226136,2772.0292800004245,73.4133949191686,29.860663510202574,0.0,440,450,450,460,1100,1300,2100,2800,2800,2800,2800
,Aggregated,866,0,440.0,529.841946338347,310.35419100226136,2772.0292800004245,73.4133949191686,29.860663510202574,0.0,440,450,450,460,1100,1300,2100,2800,2800,2800,2800
