Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transcribe/raw,1106,0,420.0,414.1729197648926,149.278957000206,1201.290433997201,76.750452079566,38.166396711145914,0.0,420,430,440,440,450,460,460,1200,1200,1200,1200
,Aggregated,1106,0,420.0,414.1729197648926,149.278957000206,1201.290433997201,76.750452079566,38.166396711145914,0.0,420,430,440,440,450,460,460,1200,1200,1200,1200
