Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transcribe/raw,3906,0,450.0,455.9000522654964,295.23989299923414,1622.731802999624,74.67537122375832,135.389210002485,0.0,450,480,480,480,490,500,760,1600,1600,1600,1600
,Aggregated,3906,0,450.0,455.9000522654964,295.23989299923414,1622.731802999624,74.67537122375832,135.389210002485,0.0,450,480,480,480,490,500,760,1600,1600,1600,1600
