Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transcribe/raw [burst],7286,0,1500.0,1436.4054605720578,310.99707700013823,3994.9157979999654,74.93453197913807,122.91771901352844,0.0,1500,1700,1800,1900,2100,2800,3600,3600,3700,4000,4000
POST,/transcribe/raw [fast],12915,6999,81,713.360820289511,0.45385999965219526,4011.711676000232,34.02245451025939,217.881188726286,118.07591481961099,81,1000,1300,1500,1900,2400,3200,3900,4000,4000,4000
POST,/transcribe/raw [realistic],12956,11660,1,261.8875335237693,0.45660100022359984,3536.4828629999465,7.285350416795307,218.5728750397028,196.70883937657723,1,2,15,650,960,1600,2400,2600,2900,3500,3500
,Aggregated,33157,18659,65,695.8325561450395,0.45385999965219526,4011.711676000232,32.565129535241425,559.3717827795173,314.7847541961882,65,940,1300,1500,1900,2200,2800,3600,4000,4000,4000
