Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transcribe/raw [burst],4490,0,1500.0,1618.3704001236108,297.609041999749,4304.485726999701,74.78752783964366,75.91250504049755,0.0,1500,1800,2000,2200,2800,3300,3800,4000,4200,4300,4300
POST,/transcribe/raw [fast],6848,204,1600.0,1711.1289152647507,0.5005129996789037,5100.4166619995885,72.49328271028037,115.77925044929337,3.449031409412361,1600,2000,2200,2400,2900,3200,5000,5100,5100,5100,5100
POST,/transcribe/raw [realistic],8528,7230,1,326.01285110882213,0.43169199943804415,3773.1154160001097,11.315196998123827,144.18303852680694,122.23773083358515,1,2,520,620,1400,2000,2400,2700,3500,3800,3800
,Aggregated,19866,7434,890.0,1095.5668731774892,0.43169199943804415,5100.4166619995885,46.74952179603343,335.87479401659783,125.6867622429975,890,1500,1800,2000,2500,3000,3600,5000,5100,5100,5100
