Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transcribe/raw [burst],17370,8921,370.0,677.6943572901525,0.4415070006871247,4891.923793000387,36.165860679332184,290.8620206933334,149.38284896978857,370,760,1200,1500,2000,2200,2500,3500,4900,4900,4900
POST,/transcribe/raw [fast],22735,17206,3,450.6131784903897,0.44199100011610426,3501.153166000222,17.950604794369916,380.6993690537096,288.11582775184195,3,88,690,1000,1800,2000,2500,3200,3300,3500,3500
POST,/transcribe/raw [realistic],21323,20238,2,290.25602643010035,0.4248280001775129,3361.2003469997944,3.7441260610608262,357.0553176306246,338.88690701161096,2,7,31,150,1400,1600,2900,3100,3200,3300,3400
,Aggregated,61428,46365,3,459.1614711642532,0.4248280001775129,4891.923793000387,18.16995506934948,1028.6167073776676,776.3855837332414,3,130,720,1100,1700,2000,2600,3100,4800,4900,4900
