Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transcribe/raw,1984,0,430.0,462.2873424677396,203.10781899979702,600.296415999992,74.40675403225806,68.44473860144326,0.0,430,450,540,550,560,580,580,590,600,600,600
,Aggregated,1984,0,430.0,462.2873424677396,203.10781899979702,600.296415999992,74.40675403225806,68.44473860144326,0.0,430,450,540,550,560,580,580,590,600,600,600
