Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transcribe/raw [burst],7267,367,490.0,550.7371996665844,0.5089819997010636,2300.119579999773,70.68666574927755,81.44946114366587,4.1133827218557,490,560,590,620,770,1200,1900,2000,2300,2300,2300
POST,/transcribe/raw [fast],8541,1110,490.0,529.0283447677052,0.4894280000371509,2313.7107139991713,64.80458962650744,95.72861533343199,12.44102131133468,490,560,600,640,870,1300,1900,2000,2200,2300,2300
POST,/transcribe/raw [realistic],8111,3593,370.0,329.22145980889974,0.4963910005244543,2287.4483040004634,41.71606460362471,90.90912059120323,40.270801415878836,370,470,520,560,650,880,1600,1900,2200,2300,2300
,Aggregated,23919,5070,460.0,467.8687897967319,0.4894280000371509,2313.7107139991713,58.76228103181571,268.08719706830107,56.825205449069216,460,530,580,610,760,1100,1800,2000,2200,2300,2300
