Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transcribe/raw,7425,0,850.0,927.7751969741464,389.5446379999612,2509.597377999853,75.09777777777778,257.3752397683269,0.0,850,920,950,960,1000,1000,2400,2500,2500,2500,2500
,Aggregated,7425,0,850.0,927.7751969741464,389.5446379999612,2509.597377999853,75.09777777777778,257.3752397683269,0.0,850,920,950,960,1000,1000,2400,2500,2500,2500,2500
