Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transcribe/raw [burst],8654,761,530.0,604.9243677543363,0.49652000052446965,3548.236838999401,67.90709498497804,97.08246697929636,8.537064637305816,530,600,650,680,1000,1700,2000,2200,3500,3500,3500
POST,/transcribe/raw [fast],10616,2495,490.0,525.7651572766567,0.4806219994861749,3568.2452080000076,56.841842501883946,119.0926126013647,27.989456333873864,490,570,620,660,930,1600,2300,2800,3500,3600,3600
POST,/transcribe/raw [realistic],10137,6386,3,231.78282372407924,0.45175700051913736,3518.0417279998437,27.520765512479038,113.71908571401978,71.6395463519513,3,370,470,510,610,750,1400,1800,3200,3500,3500
,Aggregated,29407,9642,450.0,447.7206404014696,0.45175700051913736,3568.2452080000076,49.99078450709015,329.8941652946808,108.16606732313097,450,540,590,620,820,1400,1900,2300,3500,3600,3600
