Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transcribe,7169,0,900.0,969.0976427902153,478.9849169997069,2382.939876999899,74.71669688938485,246.70115588186027,0.0,900,940,980,990,1000,1100,2300,2400,2400,2400,2400
,Aggregated,7169,0,900.0,969.0976427902153,478.9849169997069,2382.939876999899,74.71669688938485,246.70115588186027,0.0,900,940,980,990,1000,1100,2300,2400,2400,2400,2400
