Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transcribe,944,0,430.0,486.57352187182187,135.18965699995533,1452.588316999936,76.06038135593221,32.665328810010976,0.0,430,490,550,550,580,620,1000,1200,1500,1500,1500
,Aggregated,944,0,430.0,486.57352187182187,135.18965699995533,1452.588316999936,76.06038135593221,32.665328810010976,0.0,430,490,550,550,580,620,1000,1200,1500,1500,1500
