Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transcribe,6913,0,920.0,987.329978924059,544.7179750001396,2610.4301099999248,74.01215101981774,240.90203088027002,0.0,920,960,990,1000,1100,1100,2400,2500,2500,2600,2600
,Aggregated,6913,0,920.0,987.329978924059,544.7179750001396,2610.4301099999248,74.01215101981774,240.90203088027002,0.0,920,960,990,1000,1100,1100,2400,2500,2500,2600,2600
