Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transcribe/raw,7168,0,860.0,978.5169678892319,343.15629799993985,2472.5372519999382,74.10560825892857,246.64594096487528,0.0,860,920,950,970,1500,1900,2400,2400,2400,2500,2500
,Aggregated,7168,0,860.0,978.5169678892319,343.15629799993985,2472.5372519999382,74.10560825892857,246.64594096487528,0.0,860,920,950,970,1500,1900,2400,2400,2400,2500,2500
